"Date d'analyse du prélèvement","Nombre de prélèvements analysés"
"2020-03-06 00:00:00",
"2020-03-07 00:00:00",
"2020-03-08 00:00:00",353
"2020-03-09 00:00:00",68
"2020-03-10 00:00:00",145
"2020-03-11 00:00:00",225
"2020-03-12 00:00:00",377
"2020-03-13 00:00:00",287
"2020-03-14 00:00:00",695
"2020-03-15 00:00:00",811
"2020-03-16 00:00:00",1157
"2020-03-17 00:00:00",1459
"2020-03-18 00:00:00",2246
"2020-03-19 00:00:00",3597
"2020-03-20 00:00:00",3990
"2020-03-21 00:00:00",3995
"2020-03-22 00:00:00",4434
"2020-03-23 00:00:00",3952
"2020-03-24 00:00:00",4024
"2020-03-25 00:00:00",5394
"2020-03-26 00:00:00",5299
"2020-03-27 00:00:00",6119
"2020-03-28 00:00:00",5773
"2020-03-29 00:00:00",6856
"2020-03-30 00:00:00",7511
"2020-03-31 00:00:00",7569
"2020-04-01 00:00:00",6493
"2020-04-02 00:00:00",7182
"2020-04-03 00:00:00",7743
"2020-04-04 00:00:00",4990
"2020-04-05 00:00:00",3978
"2020-04-06 00:00:00",4805
"2020-04-07 00:00:00",5394
"2020-04-08 00:00:00",4968
"2020-04-09 00:00:00",5508
"2020-04-10 00:00:00",5267
"2020-04-11 00:00:00",6923
"2020-04-12 00:00:00",6230
"2020-04-13 00:00:00",7016
"2020-04-14 00:00:00",7174
"2020-04-15 00:00:00",6562
"2020-04-16 00:00:00",6707
"2020-04-17 00:00:00",6363
"2020-04-18 00:00:00",5898
"2020-04-19 00:00:00",5379
"2020-04-20 00:00:00",6336
"2020-04-21 00:00:00",5963
"2020-04-22 00:00:00",8598
"2020-04-23 00:00:00",6600
"2020-04-24 00:00:00",7630
"2020-04-25 00:00:00",6339
"2020-04-26 00:00:00",7013
"2020-04-27 00:00:00",6413
"2020-04-28 00:00:00",7118
"2020-04-29 00:00:00",8801
"2020-04-30 00:00:00",8613
"2020-05-01 00:00:00",9672
"2020-05-02 00:00:00",7809
"2020-05-03 00:00:00",7955
"2020-05-04 00:00:00",6937
"2020-05-05 00:00:00",9117
"2020-05-06 00:00:00",9452
"2020-05-07 00:00:00",10033
"2020-05-08 00:00:00",10831
"2020-05-09 00:00:00",9042
"2020-05-10 00:00:00",8995
"2020-05-11 00:00:00",8981
"2020-05-12 00:00:00",11302
"2020-05-13 00:00:00",11363
"2020-05-14 00:00:00",13169
"2020-05-15 00:00:00",12054
"2020-05-16 00:00:00",13435
"2020-05-17 00:00:00",10203
"2020-05-18 00:00:00",9582
"2020-05-19 00:00:00",11608
"2020-05-20 00:00:00",12506
"2020-05-21 00:00:00",14572
"2020-05-22 00:00:00",15375
"2020-05-23 00:00:00",13533
"2020-05-24 00:00:00",12121
