"Date de déclaration du cas","Par lien épidémiologique","En laboratoire","Cas actifs"
"2020-02-24 00:00:00",0,0,0
"2020-02-25 00:00:00",0,1,1
"2020-02-26 00:00:00",0,1,1
"2020-02-27 00:00:00",0,1,1
"2020-02-28 00:00:00",0,2,2
"2020-02-29 00:00:00",0,2,2
"2020-03-01 00:00:00",1,2,3
"2020-03-02 00:00:00",1,5,6
"2020-03-03 00:00:00",1,7,8
"2020-03-04 00:00:00",1,9,10
"2020-03-05 00:00:00",1,10,11
"2020-03-06 00:00:00",1,12,13
"2020-03-07 00:00:00",1,12,13
"2020-03-08 00:00:00",1,13,14
"2020-03-09 00:00:00",1,14,15
"2020-03-10 00:00:00",2,15,16
"2020-03-11 00:00:00",2,25,26
"2020-03-12 00:00:00",2,31,32
"2020-03-13 00:00:00",2,35,36
"2020-03-14 00:00:00",2,54,55
"2020-03-15 00:00:00",2,67,67
"2020-03-16 00:00:00",2,84,83
"2020-03-17 00:00:00",2,128,127
"2020-03-18 00:00:00",3,168,167
"2020-03-19 00:00:00",4,241,239
"2020-03-20 00:00:00",12,363,367
"2020-03-21 00:00:00",14,547,549
"2020-03-22 00:00:00",15,784,781
"2020-03-23 00:00:00",23,1122,1113
"2020-03-24 00:00:00",33,1381,1360
"2020-03-25 00:00:00",40,1743,1692
"2020-03-26 00:00:00",45,2104,2024
"2020-03-27 00:00:00",48,2553,2432
"2020-03-28 00:00:00",56,2961,2781
"2020-03-29 00:00:00",71,3515,3283
"2020-03-30 00:00:00",115,4050,3778
"2020-03-31 00:00:00",165,4731,4379
"2020-04-01 00:00:00",221,5376,4943
"2020-04-02 00:00:00",295,6179,5656
"2020-04-03 00:00:00",377,6872,6203
"2020-04-04 00:00:00",488,7567,6676
"2020-04-05 00:00:00",573,8118,6950
"2020-04-06 00:00:00",661,8909,7417
"2020-04-07 00:00:00",738,9623,7781
"2020-04-08 00:00:00",825,10224,7876
"2020-04-09 00:00:00",928,10870,8117
"2020-04-10 00:00:00",1014,11423,8121
"2020-04-11 00:00:00",1090,12010,8189
"2020-04-12 00:00:00",1173,12721,8417
"2020-04-13 00:00:00",1271,13587,8638
"2020-04-14 00:00:00",1399,14418,8746
"2020-04-15 00:00:00",1630,15288,9029
"2020-04-16 00:00:00",1747,16137,9192
"2020-04-17 00:00:00",1915,16995,9461
"2020-04-18 00:00:00",2028,17545,9449
"2020-04-19 00:00:00",2123,18271,9646
"2020-04-20 00:00:00",2281,19023,9804
"2020-04-21 00:00:00",2396,19712,9933
"2020-04-22 00:00:00",2536,20458,10094
"2020-04-23 00:00:00",2688,21214,10334
"2020-04-24 00:00:00",2822,21940,10505
"2020-04-25 00:00:00",2917,22603,10606
"2020-04-26 00:00:00",3006,23129,10640
"2020-04-27 00:00:00",3131,23916,10798
"2020-04-28 00:00:00",3260,24708,10929
"2020-04-29 00:00:00",3383,25487,10895
"2020-04-30 00:00:00",3495,26378,11067
"2020-05-01 00:00:00",3614,27314,11280
"2020-05-02 00:00:00",3703,28123,11458
"2020-05-03 00:00:00",3784,28841,11598
"2020-05-04 00:00:00",3894,29598,11692
"2020-05-05 00:00:00",4021,30365,11790
"2020-05-06 00:00:00",4149,31266,12014
"2020-05-07 00:00:00",4250,32017,12073
"2020-05-08 00:00:00",4341,32703,12010
"2020-05-09 00:00:00",4418,33381,12007
"2020-05-10 00:00:00",4474,33977,11960
"2020-05-11 00:00:00",4575,34607,11637
"2020-05-12 00:00:00",4706,35270,11465
"2020-05-13 00:00:00",4805,35953,11329
"2020-05-14 00:00:00",4876,36584,11015
"2020-05-15 00:00:00",4941,37307,11005
"2020-05-16 00:00:00",5013,37931,10967
"2020-05-17 00:00:00",5107,38573,11005
"2020-05-18 00:00:00",5186,39162,10839
"2020-05-19 00:00:00",5244,39741,10633
"2020-05-20 00:00:00",5318,40469,10634
"2020-05-21 00:00:00",5384,41124,10459
"2020-05-22 00:00:00",5429,41685,10267
"2020-05-23 00:00:00",5473,42146,10041
"2020-05-24 00:00:00",5532,42633,9977
"2020-05-25 00:00:00",5580,43100,9640
"2020-05-26 00:00:00",5634,43495,9340
"2020-05-27 00:00:00",5697,43955,9106
"2020-05-28 00:00:00",5740,44325,8768
"2020-05-29 00:00:00",5769,44723,8442
"2020-05-30 00:00:00",5788,45101,8092
"2020-05-31 00:00:00",5821,45360,7734
"2020-06-01 00:00:00",5858,45651,7434
"2020-06-02 00:00:00",5870,45866,7024
"2020-06-03 00:00:00",5897,46114,6709
"2020-06-04 00:00:00",5921,46347,6461
"2020-06-05 00:00:00",5948,46568,6098
"2020-06-06 00:00:00",5974,46790,5898
"2020-06-07 00:00:00",5990,46963,5638
"2020-06-08 00:00:00",5998,47073,5304
"2020-06-09 00:00:00",6008,47227,5014
"2020-06-10 00:00:00",6026,47381,4673
"2020-06-11 00:00:00",6038,47523,4371
"2020-06-12 00:00:00",6055,47682,4138
"2020-06-13 00:00:00",6072,47789,3938
"2020-06-14 00:00:00",6077,47878,3786
"2020-06-15 00:00:00",6087,47978,3504
"2020-06-16 00:00:00",6099,48101,3298
"2020-06-17 00:00:00",6108,48213,3092
"2020-06-18 00:00:00",6121,48335,2952
"2020-06-19 00:00:00",6139,48450,2816
"2020-06-20 00:00:00",6146,48541,2751
"2020-06-21 00:00:00",6147,48618,2658
"2020-06-22 00:00:00",6152,48698,2562
"2020-06-23 00:00:00",6152,48790,2443
"2020-06-24 00:00:00",6157,48874,2374
"2020-06-25 00:00:00",6163,48957,2282
"2020-06-26 00:00:00",6176,49029,2106
"2020-06-27 00:00:00",6179,49114,2035
"2020-06-28 00:00:00",6182,49170,1987
"2020-06-29 00:00:00",6188,49225,1889
"2020-06-30 00:00:00",6197,49313,1826
"2020-07-01 00:00:00",6198,49385,1711
"2020-07-02 00:00:00",6206,49447,1594
"2020-07-03 00:00:00",6210,49533,1541
"2020-07-04 00:00:00",6211,49627,1514
"2020-07-05 00:00:00",6219,49674,1523
"2020-07-06 00:00:00",6219,49742,1500
"2020-07-07 00:00:00",6222,49847,1483
"2020-07-08 00:00:00",6225,49944,1471
"2020-07-09 00:00:00",6228,50073,1468
"2020-07-10 00:00:00",6231,50183,1482
"2020-07-11 00:00:00",6235,50280,1508
"2020-07-12 00:00:00",6237,50353,1509
"2020-07-13 00:00:00",6244,50486,1520
"2020-07-14 00:00:00",6248,50611,1549
"2020-07-15 00:00:00",6256,50750,1604
"2020-07-16 00:00:00",6260,50884,1638
"2020-07-17 00:00:00",6267,51073,1740
"2020-07-18 00:00:00",6274,51253,1823
"2020-07-19 00:00:00",6275,51383,1860
"2020-07-20 00:00:00",6281,51508,1877
"2020-07-21 00:00:00",6287,51654,1918
"2020-07-22 00:00:00",6290,51827,1961
"2020-07-23 00:00:00",6297,52010,2002
"2020-07-24 00:00:00",6303,52166,2032
"2020-07-25 00:00:00",6307,52323,2064
"2020-07-26 00:00:00",6316,52461,2113
"2020-07-27 00:00:00",6319,52545,2069
"2020-07-28 00:00:00",6325,52669,2044
"2020-07-29 00:00:00",6340,52833,2052
"2020-07-30 00:00:00",6347,52978,2050
"2020-07-31 00:00:00",6354,53107,2061
"2020-08-01 00:00:00",6359,53237,2077
"2020-08-02 00:00:00",6363,53324,2021
"2020-08-03 00:00:00",6370,53463,2021
"2020-08-04 00:00:00",6373,53609,2028
"2020-08-05 00:00:00",6382,53724,1997
"2020-08-06 00:00:00",6390,53810,1928
"2020-08-07 00:00:00",6397,53931,1931
"2020-08-08 00:00:00",6405,54037,1924
"2020-08-09 00:00:00",6411,54129,1916
"2020-08-10 00:00:00",6418,54223,1869
"2020-08-11 00:00:00",6422,54320,1812
"2020-08-12 00:00:00",6425,54409,1730
"2020-08-13 00:00:00",6431,54502,1713
"2020-08-14 00:00:00",6437,54573,1646
"2020-08-15 00:00:00",6443,54632,1609
"2020-08-16 00:00:00",6444,54674,1537
"2020-08-17 00:00:00",6447,54720,1405
"2020-08-18 00:00:00",6449,54799,1336
"2020-08-19 00:00:00",6451,54871,1291
"2020-08-20 00:00:00",6454,54975,1284
"2020-08-21 00:00:00",6457,55080,1277
"2020-08-22 00:00:00",6458,55151,1270
"2020-08-23 00:00:00",6460,55225,1260
"2020-08-24 00:00:00",6463,55266,1223
"2020-08-25 00:00:00",6466,55359,1218
"2020-08-26 00:00:00",6469,55483,1253
"2020-08-27 00:00:00",6475,55599,1288
"2020-08-28 00:00:00",6477,55706,1316
"2020-08-29 00:00:00",6484,55841,1395
"2020-08-30 00:00:00",6487,55957,1464
"2020-08-31 00:00:00",6491,56083,1501
"2020-09-01 00:00:00",6500,56227,1569
"2020-09-02 00:00:00",6505,56409,1642
"2020-09-03 00:00:00",6514,56625,1773
"2020-09-04 00:00:00",6519,56807,1859
"2020-09-05 00:00:00",6524,57001,1966
"2020-09-06 00:00:00",6529,57192,2041
"2020-09-07 00:00:00",6539,57372,2059
"2020-09-08 00:00:00",6545,57557,2024
"2020-09-09 00:00:00",6555,57797,2035
"2020-09-10 00:00:00",6564,58047,2069
"2020-09-11 00:00:00",6574,58348,2144
"2020-09-12 00:00:00",6584,58637,2237
"2020-09-13 00:00:00",6596,58946,2407
"2020-09-14 00:00:00",6604,59220,2454
"2020-09-15 00:00:00",6618,59532,2596
"2020-09-16 00:00:00",6627,59824,2712
"2020-09-17 00:00:00",6633,60173,2848
"2020-09-18 00:00:00",6651,60646,3065
"2020-09-19 00:00:00",6669,61128,3241
"2020-09-20 00:00:00",6679,61632,3434
"2020-09-21 00:00:00",6692,62100,3620
"2020-09-22 00:00:00",6715,62602,3901
"2020-09-23 00:00:00",6745,63259,4340
"2020-09-24 00:00:00",6775,63966,4727
"2020-09-25 00:00:00",6804,64677,5069
"2020-09-26 00:00:00",6822,65573,5549
"2020-09-27 00:00:00",6851,66401,5931
"2020-09-28 00:00:00",6878,67281,6324
"2020-09-29 00:00:00",6899,68218,6826
"2020-09-30 00:00:00",6926,69213,7310
"2020-10-01 00:00:00",6941,70163,7604
"2020-10-02 00:00:00",6965,71310,7985
"2020-10-03 00:00:00",6984,72456,8328
"2020-10-04 00:00:00",6994,73496,8446
"2020-10-05 00:00:00",7013,74324,8410
"2020-10-06 00:00:00",7041,75301,8704
"2020-10-07 00:00:00",7066,76256,8883
"2020-10-08 00:00:00",7085,77333,8930
"2020-10-09 00:00:00",7103,78454,8907
"2020-10-10 00:00:00",7128,79347,8776
"2020-10-11 00:00:00",7148,80419,8927
"2020-10-12 00:00:00",7170,81203,8780
"2020-10-13 00:00:00",7193,82135,8844
"2020-10-14 00:00:00",7208,83220,8946
"2020-10-15 00:00:00",7218,84361,9092
"2020-10-16 00:00:00",7238,85483,9151
"2020-10-17 00:00:00",7260,86522,9250
"2020-10-18 00:00:00",7284,87475,9271
"2020-10-19 00:00:00",7301,88313,9130
"2020-10-20 00:00:00",7320,89334,9458
"2020-10-21 00:00:00",7331,90315,9747
"2020-10-22 00:00:00",7357,91228,9844
"2020-10-23 00:00:00",7367,92264,9860
"2020-10-24 00:00:00",7388,93078,9690
"2020-10-25 00:00:00",7400,93897,9507
"2020-10-26 00:00:00",7414,94882,9475
"2020-10-27 00:00:00",7440,95832,9535
"2020-10-28 00:00:00",7455,96815,9661
"2020-10-29 00:00:00",7476,97863,9694
"2020-10-30 00:00:00",7484,98813,9622
"2020-10-31 00:00:00",7498,99784,9645
"2020-11-01 00:00:00",7511,100796,9732
"2020-11-02 00:00:00",7527,101682,9738
"2020-11-03 00:00:00",7541,102735,9876
"2020-11-04 00:00:00",7557,103889,10181
"2020-11-05 00:00:00",7570,105151,10339
"2020-11-06 00:00:00",7582,106337,10563
"2020-11-07 00:00:00",7597,107565,10789
"2020-11-08 00:00:00",7608,108865,11091
"2020-11-09 00:00:00",7624,110058,11203
"2020-11-10 00:00:00",7637,111356,11590
"2020-11-11 00:00:00",7662,112731,12070
"2020-11-12 00:00:00",7679,114043,12133
"2020-11-13 00:00:00",7692,115415,12346
"2020-11-14 00:00:00",7707,116647,12350
"2020-11-15 00:00:00",7729,117748,12232
"2020-11-16 00:00:00",7751,118750,11869
"2020-11-17 00:00:00",7767,119859,11769
"2020-11-18 00:00:00",7784,121054,11791
"2020-11-19 00:00:00",7807,122339,11526
"2020-11-20 00:00:00",7821,123474,11345
"2020-11-21 00:00:00",7832,124585,11265
"2020-11-22 00:00:00",7853,125776,11134
"2020-11-23 00:00:00",7864,126848,10920
"2020-11-24 00:00:00",7875,128070,11106
"2020-11-25 00:00:00",7889,129455,11613
"2020-11-26 00:00:00",7904,130772,11643
"2020-11-27 00:00:00",7915,132036,11701
"2020-11-28 00:00:00",7930,133452,12047
"2020-11-29 00:00:00",7949,134817,12301
"2020-11-30 00:00:00",7972,136064,12583
"2020-12-01 00:00:00",7987,137576,13041
"2020-12-02 00:00:00",8004,139116,13572
"2020-12-03 00:00:00",8024,140598,13820
"2020-12-04 00:00:00",8048,142348,14260
"2020-12-05 00:00:00",8066,143982,14716
"2020-12-06 00:00:00",8090,145503,15058
"2020-12-07 00:00:00",8118,147105,15309
"2020-12-08 00:00:00",8135,148745,15844
"2020-12-09 00:00:00",8158,150477,16349
"2020-12-10 00:00:00",8185,152213,16436
"2020-12-11 00:00:00",8204,154117,16833
"2020-12-12 00:00:00",8227,156095,17257
"2020-12-13 00:00:00",8254,157834,17490
"2020-12-14 00:00:00",8273,159710,17887
"2020-12-15 00:00:00",8303,161474,18354
"2020-12-16 00:00:00",8321,163589,19053
"2020-12-17 00:00:00",8350,165891,19416
